| end of split  18 /100 | epoch   2 | time: 1008.73s | valid loss  1.10 | valid ppl     3.00 | learning rate 20.00
| end of split  19 /100 | epoch   2 | time: 1002.70s | valid loss  1.11 | valid ppl     3.03 | learning rate 20.00
| end of split  20 /100 | epoch   2 | time: 979.59s | valid loss  1.10 | valid ppl     3.01 | learning rate 20.00
| end of split  21 /100 | epoch   2 | time: 987.12s | valid loss  1.10 | valid ppl     3.02 | learning rate 20.00
| end of split  22 /100 | epoch   2 | time: 988.88s | valid loss  1.16 | valid ppl     3.20 | learning rate 20.00
| end of split  23 /100 | epoch   2 | time: 978.65s | valid loss  1.10 | valid ppl     3.01 | learning rate 20.00
| end of split  24 /100 | epoch   2 | time: 991.73s | valid loss  1.10 | valid ppl     2.99 | learning rate 20.00
| end of split  25 /100 | epoch   2 | time: 978.46s | valid loss  1.10 | valid ppl     3.01 | learning rate 20.00
| end of split  26 /100 | epoch   2 | time: 978.25s | valid loss  1.10 | valid ppl     2.99 | learning rate 20.00
| end of split  27 /100 | epoch   2 | time: 979.25s | valid loss  1.10 | valid ppl     2.99 | learning rate 20.00
| end of split  28 /100 | epoch   2 | time: 1000.09s | valid loss  1.10 | valid ppl     2.99 | learning rate 20.00
| end of split  29 /100 | epoch   2 | time: 978.83s | valid loss  1.09 | valid ppl     2.99 | learning rate 20.00
| end of split  30 /100 | epoch   2 | time: 978.89s | valid loss  1.09 | valid ppl     2.98 | learning rate 20.00
| end of split  31 /100 | epoch   2 | time: 978.29s | valid loss  1.10 | valid ppl     3.01 | learning rate 20.00
| end of split  32 /100 | epoch   2 | time: 989.90s | valid loss  1.09 | valid ppl     2.99 | learning rate 20.00
| end of split  33 /100 | epoch   2 | time: 978.85s | valid loss  1.12 | valid ppl     3.07 | learning rate 20.00
| end of split  34 /100 | epoch   2 | time: 978.25s | valid loss  1.10 | valid ppl     2.99 | learning rate 20.00
| end of split  35 /100 | epoch   2 | time: 978.43s | valid loss  1.09 | valid ppl     2.99 | learning rate 20.00
| end of split  36 /100 | epoch   2 | time: 977.92s | valid loss  1.10 | valid ppl     2.99 | learning rate 20.00
| end of split  37 /100 | epoch   2 | time: 979.10s | valid loss  1.10 | valid ppl     2.99 | learning rate 20.00
| end of split  38 /100 | epoch   2 | time: 979.40s | valid loss  1.09 | valid ppl     2.98 | learning rate 20.00
| end of split  39 /100 | epoch   2 | time: 979.64s | valid loss  1.09 | valid ppl     2.98 | learning rate 20.00
| end of split  40 /100 | epoch   2 | time: 979.84s | valid loss  1.09 | valid ppl     2.98 | learning rate 20.00
| end of split  41 /100 | epoch   2 | time: 1008.24s | valid loss  1.09 | valid ppl     2.98 | learning rate 20.00
| end of split  42 /100 | epoch   2 | time: 979.79s | valid loss  1.09 | valid ppl     2.98 | learning rate 20.00
| end of split  43 /100 | epoch   2 | time: 980.01s | valid loss  1.12 | valid ppl     3.06 | learning rate 20.00
| end of split  44 /100 | epoch   2 | time: 980.92s | valid loss  1.09 | valid ppl     2.97 | learning rate 20.00
| end of split  45 /100 | epoch   2 | time: 980.00s | valid loss  1.09 | valid ppl     2.98 | learning rate 20.00
