| end of split  61 /100 | epoch   1 | time: 117.31s | valid loss  2.97 | valid ppl    19.44 | learning rate 1.25
| end of split  62 /100 | epoch   1 | time: 118.20s | valid loss  2.95 | valid ppl    19.12 | learning rate 0.31
| end of split  63 /100 | epoch   1 | time: 118.54s | valid loss  2.96 | valid ppl    19.26 | learning rate 0.31
| end of split  64 /100 | epoch   1 | time: 117.72s | valid loss  2.96 | valid ppl    19.22 | learning rate 0.31
| end of split  65 /100 | epoch   1 | time: 117.97s | valid loss  2.96 | valid ppl    19.24 | learning rate 0.31
| end of split  66 /100 | epoch   1 | time: 118.38s | valid loss  2.96 | valid ppl    19.34 | learning rate 0.31
| end of split  67 /100 | epoch   1 | time: 117.68s | valid loss  2.95 | valid ppl    19.09 | learning rate 0.31
| end of split  68 /100 | epoch   1 | time: 117.32s | valid loss  2.95 | valid ppl    19.13 | learning rate 0.31
| end of split  69 /100 | epoch   1 | time: 118.13s | valid loss  2.97 | valid ppl    19.40 | learning rate 0.31
| end of split  70 /100 | epoch   1 | time: 117.93s | valid loss  2.97 | valid ppl    19.43 | learning rate 0.31
| end of split  71 /100 | epoch   1 | time: 117.95s | valid loss  2.95 | valid ppl    19.13 | learning rate 0.31
| end of split  72 /100 | epoch   1 | time: 117.62s | valid loss  2.96 | valid ppl    19.33 | learning rate 0.31
| end of split  73 /100 | epoch   1 | time: 117.98s | valid loss  2.95 | valid ppl    19.17 | learning rate 0.08
| end of split  74 /100 | epoch   1 | time: 118.21s | valid loss  2.96 | valid ppl    19.26 | learning rate 0.08
| end of split  75 /100 | epoch   1 | time: 118.23s | valid loss  2.95 | valid ppl    19.13 | learning rate 0.08
| end of split  76 /100 | epoch   1 | time: 117.69s | valid loss  2.95 | valid ppl    19.18 | learning rate 0.08
| end of split  77 /100 | epoch   1 | time: 117.75s | valid loss  2.95 | valid ppl    19.18 | learning rate 0.08
| end of split  78 /100 | epoch   1 | time: 118.12s | valid loss  2.95 | valid ppl    19.16 | learning rate 0.08
| end of split  79 /100 | epoch   1 | time: 117.84s | valid loss  2.96 | valid ppl    19.25 | learning rate 0.08
